city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Dakar,14.6928,-17.4467,Senegal,SN,Dakar,primary,1438725,1438725
Pikine,14.7500,-17.4000,Senegal,SN,Dakar,,1170791,1170791
Touba,14.8667,-15.8833,Senegal,SN,Diourbel,,529176,529176
Thiès,14.7833,-16.9167,Senegal,SN,Thiès,admin,394544,394544
Guédiawaye,14.7833,-17.4000,Senegal,SN,Dakar,,329659,329659
Rufisque,14.7167,-17.2667,Senegal,SN,Dakar,,221066,221066
Kaolack,14.1389,-16.0764,Senegal,SN,Kaolack,admin,172305,172305
Saint-Louis,16.0333,-16.5000,Senegal,SN,Saint-Louis,admin,154555,154555
Diourbel,14.6550,-16.2314,Senegal,SN,Diourbel,admin,100445,100445
Louga,15.6167,-16.2167,Senegal,SN,Louga,admin,82884,82884
Tambacounda,13.7689,-13.6672,Senegal,SN,Tambacounda,admin,78800,78800
Ziguinchor,12.5833,-16.2667,Senegal,SN,Ziguinchor,admin,69646,69646
Mbaké,14.7917,-15.9083,Senegal,SN,Diourbel,,68054,68054
Kolda,12.8833,-14.9500,Senegal,SN,Kolda,admin,62258,62258
Bargny,14.6939,-17.2336,Senegal,SN,Dakar,,51188,51188
Joal-Fadiout,14.1667,-16.8333,Senegal,SN,Thiès,,45903,45903
Kaffrine,14.1014,-15.5432,Senegal,SN,Kaffrine,admin,39357,39357
Sali,14.4383,-17.0125,Senegal,SN,Thiès,,30000,30000
Sébikhotane,14.7469,-17.1367,Senegal,SN,Dakar,,27402,27402
Pout,14.7739,-17.0603,Senegal,SN,Thiès,,23728,23728
Nguékhokh,14.5128,-17.0500,Senegal,SN,Thiès,,20053,20053
Fatick,14.3333,-16.4069,Senegal,SN,Fatick,admin,18416,18416
Matam,15.6167,-13.3333,Senegal,SN,Matam,admin,17324,17324
Khombole,14.7667,-16.6833,Senegal,SN,Thiès,,12880,12880
Tiadiaye,14.4167,-16.7000,Senegal,SN,Thiès,,12168,12168
Kédougou,12.5500,-12.1833,Senegal,SN,Kédougou,admin,11216,11216
Ngaparou,14.4631,-17.0581,Senegal,SN,Thiès,,9500,9500
Nianing,14.3500,-16.9333,Senegal,SN,Thiès,,6448,6448
D’ias,14.6392,-17.0878,Senegal,SN,Thiès,,4794,4794
Sédhiou,12.7000,-15.5500,Senegal,SN,Sédhiou,admin,,
